# ell C_ell
1.029200e+04 3.523860e+00
1.029300e+04 3.523570e+00
1.029400e+04 3.523280e+00
1.029500e+04 3.522990e+00
1.029600e+04 3.522700e+00
1.029700e+04 3.522410e+00
1.029800e+04 3.522120e+00
1.029900e+04 3.521830e+00
1.030000e+04 3.521540e+00
1.030100e+04 3.521250e+00
1.030200e+04 3.520960e+00
1.030300e+04 3.520670e+00
1.030400e+04 3.520380e+00
1.030500e+04 3.520090e+00
1.030600e+04 3.519800e+00
1.030700e+04 3.519510e+00
1.030800e+04 3.519220e+00
1.030900e+04 3.518930e+00
1.031000e+04 3.518640e+00
1.031100e+04 3.518350e+00
1.031200e+04 3.518060e+00
1.031300e+04 3.517770e+00
1.031400e+04 3.517480e+00
1.031500e+04 3.517190e+00
1.031600e+04 3.516900e+00
1.031700e+04 3.516610e+00
1.031800e+04 3.516320e+00
1.031900e+04 3.516030e+00
1.032000e+04 3.515740e+00
1.032100e+04 3.515450e+00
1.032200e+04 3.515160e+00
1.032300e+04 3.514870e+00
1.032400e+04 3.514580e+00
1.032500e+04 3.514290e+00
1.032600e+04 3.514000e+00
1.032700e+04 3.513710e+00
1.032800e+04 3.513420e+00
1.032900e+04 3.513130e+00
1.033000e+04 3.512840e+00
1.033100e+04 3.512550e+00
1.033200e+04 3.512260e+00
1.033300e+04 3.511970e+00
1.033400e+04 3.511680e+00
1.033500e+04 3.511390e+00
1.033600e+04 3.511100e+00
1.033700e+04 3.510810e+00
1.033800e+04 3.510520e+00
1.033900e+04 3.510230e+00
1.034000e+04 3.509940e+00
1.034100e+04 3.509650e+00
1.034200e+04 3.509360e+00
1.034300e+04 3.509070e+00
1.034400e+04 3.508780e+00
1.034500e+04 3.508490e+00
1.034600e+04 3.508200e+00
1.034700e+04 3.507910e+00
1.034800e+04 3.507620e+00
1.034900e+04 3.507330e+00
1.035000e+04 3.507040e+00
1.035100e+04 3.506750e+00
1.035200e+04 3.506460e+00
1.035300e+04 3.506170e+00
1.035400e+04 3.505880e+00
1.035500e+04 3.505590e+00
