# ell C_ell
1.038400e+04 2.582678e+00
1.038500e+04 2.582805e+00
1.038600e+04 2.582932e+00
1.038700e+04 2.583059e+00
1.038800e+04 2.583186e+00
1.038900e+04 2.583313e+00
1.039000e+04 2.583440e+00
1.039100e+04 2.583567e+00
1.039200e+04 2.583694e+00
1.039300e+04 2.583821e+00
1.039400e+04 2.583948e+00
1.039500e+04 2.584075e+00
1.039600e+04 2.584202e+00
1.039700e+04 2.584329e+00
1.039800e+04 2.584456e+00
1.039900e+04 2.584583e+00
1.040000e+04 2.584710e+00
1.040100e+04 2.584837e+00
1.040200e+04 2.584964e+00
1.040300e+04 2.585091e+00
1.040400e+04 2.585218e+00
1.040500e+04 2.585345e+00
1.040600e+04 2.585472e+00
1.040700e+04 2.585599e+00
1.040800e+04 2.585726e+00
1.040900e+04 2.585853e+00
1.041000e+04 2.585980e+00
1.041100e+04 2.586107e+00
1.041200e+04 2.586234e+00
1.041300e+04 2.586361e+00
1.041400e+04 2.586488e+00
1.041500e+04 2.586615e+00
1.041600e+04 2.586742e+00
1.041700e+04 2.586869e+00
1.041800e+04 2.586996e+00
1.041900e+04 2.587123e+00
1.042000e+04 2.587250e+00
1.042100e+04 2.587377e+00
1.042200e+04 2.587504e+00
1.042300e+04 2.587631e+00
1.042400e+04 2.587758e+00
1.042500e+04 2.587885e+00
1.042600e+04 2.588012e+00
1.042700e+04 2.588139e+00
1.042800e+04 2.588266e+00
1.042900e+04 2.588393e+00
1.043000e+04 2.588520e+00
1.043100e+04 2.588647e+00
1.043200e+04 2.588774e+00
1.043300e+04 2.588901e+00
1.043400e+04 2.589028e+00
1.043500e+04 2.589155e+00
1.043600e+04 2.589282e+00
1.043700e+04 2.589409e+00
1.043800e+04 2.589536e+00
1.043900e+04 2.589663e+00
1.044000e+04 2.589790e+00
1.044100e+04 2.589917e+00
1.044200e+04 2.590044e+00
1.044300e+04 2.590171e+00
1.044400e+04 2.590298e+00
1.044500e+04 2.590425e+00
1.044600e+04 2.590552e+00
1.044700e+04 2.590679e+00
1.044800e+04 2.590806e+00
1.044900e+04 2.590933e+00
1.045000e+04 2.591060e+00
1.045100e+04 2.591187e+00
1.045200e+04 2.591314e+00
1.045300e+04 2.591441e+00
1.045400e+04 2.591568e+00
1.045500e+04 2.591695e+00
1.045600e+04 2.591822e+00
1.045700e+04 2.591949e+00
1.045800e+04 2.592076e+00
1.045900e+04 2.592203e+00
1.046000e+04 2.592330e+00
1.046100e+04 2.592457e+00
1.046200e+04 2.592584e+00
1.046300e+04 2.592711e+00
1.046400e+04 2.592838e+00
1.046500e+04 2.592965e+00
1.046600e+04 2.593092e+00
1.046700e+04 2.593219e+00
1.046800e+04 2.593346e+00
1.046900e+04 2.593473e+00
1.047000e+04 2.593600e+00
1.047100e+04 2.593727e+00
1.047200e+04 2.593854e+00
1.047300e+04 2.593981e+00
1.047400e+04 2.594108e+00
1.047500e+04 2.594235e+00
1.047600e+04 2.594362e+00
1.047700e+04 2.594489e+00
1.047800e+04 2.594616e+00
1.047900e+04 2.594743e+00
1.048000e+04 2.594870e+00
1.048100e+04 2.594997e+00
1.048200e+04 2.595124e+00
1.048300e+04 2.595251e+00
1.048400e+04 2.595378e+00
1.048500e+04 2.595505e+00
1.048600e+04 2.595632e+00
1.048700e+04 2.595759e+00
1.048800e+04 2.595886e+00
1.048900e+04 2.596013e+00
1.049000e+04 2.596140e+00
1.049100e+04 2.596267e+00
1.049200e+04 2.596394e+00
1.049300e+04 2.596521e+00
1.049400e+04 2.596648e+00
1.049500e+04 2.596775e+00
1.049600e+04 2.596902e+00
1.049700e+04 2.597029e+00
1.049800e+04 2.597156e+00
1.049900e+04 2.597283e+00
1.050000e+04 2.597410e+00
1.050100e+04 2.597537e+00
1.050200e+04 2.597664e+00
1.050300e+04 2.597791e+00
1.050400e+04 2.597918e+00
1.050500e+04 2.598045e+00
1.050600e+04 2.598172e+00
1.050700e+04 2.598299e+00
1.050800e+04 2.598426e+00
1.050900e+04 2.598553e+00
1.051000e+04 2.598680e+00
1.051100e+04 2.598807e+00
1.051200e+04 2.598934e+00
1.051300e+04 2.599061e+00
1.051400e+04 2.599188e+00
1.051500e+04 2.599315e+00
1.051600e+04 2.599442e+00
1.051700e+04 2.599569e+00
1.051800e+04 2.599696e+00
1.051900e+04 2.599823e+00
1.052000e+04 2.599950e+00
1.052100e+04 2.600077e+00
1.052200e+04 2.600204e+00
1.052300e+04 2.600331e+00
1.052400e+04 2.600458e+00
1.052500e+04 2.600585e+00
1.052600e+04 2.600712e+00
1.052700e+04 2.600839e+00
1.052800e+04 2.600966e+00
1.052900e+04 2.601093e+00
1.053000e+04 2.601220e+00
1.053100e+04 2.601347e+00
1.053200e+04 2.601474e+00
1.053300e+04 2.601601e+00
1.053400e+04 2.601728e+00
1.053500e+04 2.601855e+00
1.053600e+04 2.601982e+00
1.053700e+04 2.602109e+00
1.053800e+04 2.602236e+00
1.053900e+04 2.602363e+00
1.054000e+04 2.602490e+00
1.054100e+04 2.602617e+00
1.054200e+04 2.602744e+00
1.054300e+04 2.602871e+00
1.054400e+04 2.602998e+00
1.054500e+04 2.603125e+00
1.054600e+04 2.603252e+00
1.054700e+04 2.603379e+00
1.054800e+04 2.603506e+00
1.054900e+04 2.603633e+00
1.055000e+04 2.603760e+00
1.055100e+04 2.603887e+00
1.055200e+04 2.604014e+00
1.055300e+04 2.604141e+00
1.055400e+04 2.604268e+00
1.055500e+04 2.604395e+00
1.055600e+04 2.604522e+00
1.055700e+04 2.604649e+00
1.055800e+04 2.604776e+00
1.055900e+04 2.604903e+00
1.056000e+04 2.605030e+00
1.056100e+04 2.605157e+00
1.056200e+04 2.605284e+00
1.056300e+04 2.605411e+00
1.056400e+04 2.605538e+00
1.056500e+04 2.605665e+00
1.056600e+04 2.605792e+00
1.056700e+04 2.605919e+00
1.056800e+04 2.606046e+00
1.056900e+04 2.606173e+00
1.057000e+04 2.606300e+00
1.057100e+04 2.606427e+00
1.057200e+04 2.606554e+00
1.057300e+04 2.606681e+00
1.057400e+04 2.606808e+00
1.057500e+04 2.606935e+00
1.057600e+04 2.607062e+00
1.057700e+04 2.607189e+00
1.057800e+04 2.607316e+00
1.057900e+04 2.607443e+00
1.058000e+04 2.607570e+00
1.058100e+04 2.607697e+00
1.058200e+04 2.607824e+00
1.058300e+04 2.607951e+00
1.058400e+04 2.608078e+00
1.058500e+04 2.608205e+00
1.058600e+04 2.608332e+00
1.058700e+04 2.608459e+00
1.058800e+04 2.608586e+00
1.058900e+04 2.608713e+00
1.059000e+04 2.608840e+00
1.059100e+04 2.608967e+00
1.059200e+04 2.609094e+00
1.059300e+04 2.609221e+00
1.059400e+04 2.609348e+00
1.059500e+04 2.609475e+00
1.059600e+04 2.609602e+00
1.059700e+04 2.609729e+00
1.059800e+04 2.609856e+00
1.059900e+04 2.609983e+00
1.060000e+04 2.610110e+00
1.060100e+04 2.610237e+00
1.060200e+04 2.610364e+00
1.060300e+04 2.610491e+00
1.060400e+04 2.610618e+00
1.060500e+04 2.610745e+00
1.060600e+04 2.610872e+00
1.060700e+04 2.610999e+00
1.060800e+04 2.611126e+00
1.060900e+04 2.611253e+00
1.061000e+04 2.611380e+00
1.061100e+04 2.611507e+00
1.061200e+04 2.611634e+00
1.061300e+04 2.611761e+00
1.061400e+04 2.611888e+00
1.061500e+04 2.612015e+00
1.061600e+04 2.612142e+00
1.061700e+04 2.612269e+00
1.061800e+04 2.612396e+00
1.061900e+04 2.612523e+00
1.062000e+04 2.612650e+00
1.062100e+04 2.612777e+00
1.062200e+04 2.612904e+00
1.062300e+04 2.613031e+00
1.062400e+04 2.613158e+00
1.062500e+04 2.613285e+00
1.062600e+04 2.613412e+00
1.062700e+04 2.613539e+00
1.062800e+04 2.613666e+00
1.062900e+04 2.613793e+00
1.063000e+04 2.613920e+00
1.063100e+04 2.614047e+00
1.063200e+04 2.614174e+00
1.063300e+04 2.614301e+00
1.063400e+04 2.614428e+00
1.063500e+04 2.614555e+00
1.063600e+04 2.614682e+00
1.063700e+04 2.614809e+00
1.063800e+04 2.614936e+00
1.063900e+04 2.615063e+00
1.064000e+04 2.615190e+00
1.064100e+04 2.615317e+00
1.064200e+04 2.615444e+00
1.064300e+04 2.615571e+00
1.064400e+04 2.615698e+00
1.064500e+04 2.615825e+00
1.064600e+04 2.615952e+00
1.064700e+04 2.616079e+00
1.064800e+04 2.616206e+00
1.064900e+04 2.616333e+00
1.065000e+04 2.616460e+00
1.065100e+04 2.616587e+00
1.065200e+04 2.616714e+00
1.065300e+04 2.616841e+00
1.065400e+04 2.616968e+00
1.065500e+04 2.617095e+00
1.065600e+04 2.617222e+00
1.065700e+04 2.617349e+00
1.065800e+04 2.617476e+00
1.065900e+04 2.617603e+00
1.066000e+04 2.617730e+00
1.066100e+04 2.617857e+00
